status,cocos4_symbol,cocos4_kind,cocos4_module,cocos4_path,cocos4_line,rust_symbol,rust_kind,rust_module,rust_path,rust_line,notes,cocos4_signature,rust_signature
missing,arc,function,2d,cocos/2d/assembler/graphics/helper.ts,38,,,,,,no public Rust symbol candidate found by current scanner,"export function arc (ctx: Impl, cx: number, cy: number, r: number, startAngle: number, endAngle: number, counterclockwise: boolean): void {",
missing,ellipse,function,2d,cocos/2d/assembler/graphics/helper.ts,100,,,,,,no public Rust symbol candidate found by current scanner,"export function ellipse (ctx: Impl, cx: number, cy: number, rx: number, ry: number): void {",
missing,roundRect,function,2d,cocos/2d/assembler/graphics/helper.ts,109,,,,,,no public Rust symbol candidate found by current scanner,"export function roundRect (ctx: Impl, x: number, y: number, w: number, h: number, r: number): void {",
missing,tesselateBezier,function,2d,cocos/2d/assembler/graphics/helper.ts,129,,,,,,no public Rust symbol candidate found by current scanner,export function tesselateBezier (,
missing,LineCap,enum,2d,cocos/2d/assembler/graphics/types.ts,33,,,,,,no public Rust symbol candidate found by current scanner,export enum LineCap {,
missing,LineJoin,enum,2d,cocos/2d/assembler/graphics/types.ts,60,,,,,,no public Rust symbol candidate found by current scanner,export enum LineJoin {,
missing,PointFlags,enum,2d,cocos/2d/assembler/graphics/types.ts,85,,,,,,no public Rust symbol candidate found by current scanner,export enum PointFlags {,
missing,earcut,function,2d,cocos/2d/assembler/graphics/webgl/earcut.ts,642,,,,,,no public Rust symbol candidate found by current scanner,"export function earcut (datas: number[], holeIndices: number[] | null, dim: number): number[] {",
missing,GraphicsAssembler,class,2d,cocos/2d/assembler/graphics/webgl/graphics-assembler.ts,75,,,,,,no public Rust symbol candidate found by current scanner,export class GraphicsAssembler implements IAssembler {,
missing,graphicsAssembler,const,2d,cocos/2d/assembler/graphics/webgl/graphics-assembler.ts,679,,,,,,no public Rust symbol candidate found by current scanner,export const graphicsAssembler = new GraphicsAssembler();,
same-name-candidate,Point,class,2d,cocos/2d/assembler/graphics/webgl/impl.ts,33,Point,type,math,src/math/vec2.rs,554,name-normalized exact match in a different module; manual review required,export class Point extends Vec2 {,pub type Point = Vec2;
same-name-candidate,Path,class,2d,cocos/2d/assembler/graphics/webgl/impl.ts,55,path,mod,core,src/core/utils/mod.rs,8,name-normalized exact match in a different module; manual review required,export class Path {,pub mod path;
missing,Impl,class,2d,cocos/2d/assembler/graphics/webgl/impl.ts,70,,,,,,no public Rust symbol candidate found by current scanner,export class Impl {,
missing,bmfont,const,2d,cocos/2d/assembler/label/bmfont.ts,55,,,,,,no public Rust symbol candidate found by current scanner,export const bmfont = new Bmfont();,
missing,BmfontUtils,class,2d,cocos/2d/assembler/label/bmfontUtils.ts,49,,,,,,no public Rust symbol candidate found by current scanner,export class BmfontUtils {,
missing,ISharedLabelData,interface,2d,cocos/2d/assembler/label/font-utils.ts,36,,,,,,no public Rust symbol candidate found by current scanner,export interface ISharedLabelData {,
missing,CanvasPool,class,2d,cocos/2d/assembler/label/font-utils.ts,43,,,,,,no public Rust symbol candidate found by current scanner,export class CanvasPool {,
missing,LetterRenderTexture,class,2d,cocos/2d/assembler/label/font-utils.ts,222,,,,,,no public Rust symbol candidate found by current scanner,export class LetterRenderTexture extends Texture2D {,
missing,LetterAtlas,class,2d,cocos/2d/assembler/label/font-utils.ts,268,,,,,,no public Rust symbol candidate found by current scanner,export class LetterAtlas {,
missing,IShareLabelInfo,interface,2d,cocos/2d/assembler/label/font-utils.ts,421,,,,,,no public Rust symbol candidate found by current scanner,export interface IShareLabelInfo {,
missing,shareLabelInfo,const,2d,cocos/2d/assembler/label/font-utils.ts,437,,,,,,no public Rust symbol candidate found by current scanner,export const shareLabelInfo: IShareLabelInfo = {,
missing,computeHash,function,2d,cocos/2d/assembler/label/font-utils.ts,453,,,,,,no public Rust symbol candidate found by current scanner,export function computeHash (labelInfo): string {,
missing,LetterFont,class,2d,cocos/2d/assembler/label/letter-font.ts,36,,,,,,no public Rust symbol candidate found by current scanner,export class LetterFont extends BmfontUtils {,
missing,letter,const,2d,cocos/2d/assembler/label/letter.ts,77,,,,,,no public Rust symbol candidate found by current scanner,export const letter = new Letter();,
missing,TextLayout,class,2d,cocos/2d/assembler/label/text-layout.ts,27,,,,,,no public Rust symbol candidate found by current scanner,export class TextLayout {,
missing,TextOutputLayoutData,class,2d,cocos/2d/assembler/label/text-output-data.ts,30,,,,,,no public Rust symbol candidate found by current scanner,export class TextOutputLayoutData {,
missing,TextOutputRenderData,class,2d,cocos/2d/assembler/label/text-output-data.ts,56,,,,,,no public Rust symbol candidate found by current scanner,export class TextOutputRenderData {,
missing,IRenderData,interface,2d,cocos/2d/assembler/label/text-processing.ts,59,,,,,,no public Rust symbol candidate found by current scanner,export interface IRenderData {,
missing,TextProcessing,class,2d,cocos/2d/assembler/label/text-processing.ts,77,,,,,,no public Rust symbol candidate found by current scanner,export class TextProcessing {,
missing,TextStyle,class,2d,cocos/2d/assembler/label/text-style.ts,29,,,,,,no public Rust symbol candidate found by current scanner,export class TextStyle {,
missing,TTF,class,2d,cocos/2d/assembler/label/ttf.ts,44,,,,,,no public Rust symbol candidate found by current scanner,export class TTF extends TTFUtils implements IAssembler {,
missing,ttf,const,2d,cocos/2d/assembler/label/ttf.ts,166,,,,,,no public Rust symbol candidate found by current scanner,export const ttf = new TTF();,
missing,TTFUtils,class,2d,cocos/2d/assembler/label/ttfUtils.ts,37,,,,,,no public Rust symbol candidate found by current scanner,export class TTFUtils {,
missing,barFilled,const,2d,cocos/2d/assembler/sprite/bar-filled.ts,287,,,,,,no public Rust symbol candidate found by current scanner,export const barFilled = new BarFilled();,
missing,radialFilled,const,2d,cocos/2d/assembler/sprite/radial-filled.ts,508,,,,,,no public Rust symbol candidate found by current scanner,export const radialFilled = new RadialFilled();,
missing,simple,const,2d,cocos/2d/assembler/sprite/simple.ts,225,,,,,,no public Rust symbol candidate found by current scanner,export const simple = new Simple();,
missing,sliced,const,2d,cocos/2d/assembler/sprite/sliced.ts,252,,,,,,no public Rust symbol candidate found by current scanner,export const sliced = new Sliced();,
missing,tiled,const,2d,cocos/2d/assembler/sprite/tiled.ts,534,,,,,,no public Rust symbol candidate found by current scanner,export const tiled = new Tiled();,
missing,fillMeshVertices3D,function,2d,cocos/2d/assembler/utils.ts,33,,,,,,no public Rust symbol candidate found by current scanner,"export function fillMeshVertices3D (node: Node, renderer: IBatcher, renderData: RenderData | null, color: Color): void {",
missing,updateOpacity,function,2d,cocos/2d/assembler/utils.ts,81,,,,,,no public Rust symbol candidate found by current scanner,"export function updateOpacity (renderData: RenderData, opacity: number): void {",
missing,IConfig,interface,2d,cocos/2d/assets/bitmap-font.ts,34,,,,,,no public Rust symbol candidate found by current scanner,export interface IConfig {,
missing,FontLetterDefinition,class,2d,cocos/2d/assets/bitmap-font.ts,38,,,,,,no public Rust symbol candidate found by current scanner,export class FontLetterDefinition {,
missing,ILetterDefinition,interface,2d,cocos/2d/assets/bitmap-font.ts,49,,,,,,no public Rust symbol candidate found by current scanner,export interface ILetterDefinition {,
missing,FontAtlas,class,2d,cocos/2d/assets/bitmap-font.ts,53,,,,,,no public Rust symbol candidate found by current scanner,export class FontAtlas {,
same-name-candidate,BitmapFont,class,2d,cocos/2d/assets/bitmap-font.ts,122,BitmapFont,struct,core,src/core/assets/bitmap_font.rs,33,name-normalized exact match in a different module; manual review required,export class BitmapFont extends Font {,pub struct BitmapFont {
same-name-candidate,Font,class,2d,cocos/2d/assets/font.ts,35,Font,struct,core,src/core/assets/font.rs,12,name-normalized exact match in a different module; manual review required,export class Font extends Asset {,pub struct Font {
missing,SpriteAtlas,reexport,2d,cocos/2d/assets/index.ts,26,,,,,,no public Rust symbol candidate found by current scanner,export { SpriteAtlas } from './sprite-atlas';,
missing,TTFFont,reexport,2d,cocos/2d/assets/index.ts,27,,,,,,no public Rust symbol candidate found by current scanner,export { TTFFont } from './ttf-font';,
missing,LabelAtlas,reexport,2d,cocos/2d/assets/index.ts,28,,,,,,no public Rust symbol candidate found by current scanner,export { LabelAtlas } from './label-atlas';,
same-name-candidate,BitmapFont,reexport,2d,cocos/2d/assets/index.ts,29,BitmapFont,struct,core,src/core/assets/bitmap_font.rs,33,name-normalized exact match in a different module; manual review required,export { BitmapFont } from './bitmap-font';,pub struct BitmapFont {
same-name-candidate,Font,reexport,2d,cocos/2d/assets/index.ts,30,Font,struct,core,src/core/assets/font.rs,12,name-normalized exact match in a different module; manual review required,export { Font } from './font';,pub struct Font {
missing,LabelAtlas,class,2d,cocos/2d/assets/label-atlas.ts,35,,,,,,no public Rust symbol candidate found by current scanner,export class LabelAtlas extends BitmapFont {,
missing,SpriteAtlas,class,2d,cocos/2d/assets/sprite-atlas.ts,49,,,,,,no public Rust symbol candidate found by current scanner,export class SpriteAtlas extends Asset {,
missing,IUV,interface,2d,cocos/2d/assets/sprite-frame.ts,59,,,,,,no public Rust symbol candidate found by current scanner,export interface IUV {,
missing,ISpriteFrameInitInfo,interface,2d,cocos/2d/assets/sprite-frame.ts,111,,,,,,no public Rust symbol candidate found by current scanner,export interface ISpriteFrameInitInfo {,
missing,SpriteFrameEvent,enum,2d,cocos/2d/assets/sprite-frame.ts,173,,,,,,no public Rust symbol candidate found by current scanner,export enum SpriteFrameEvent {,
same-name,SpriteFrame,class,2d,cocos/2d/assets/sprite-frame.ts,251,SpriteFrame,struct,2d,src/2d/sprite.rs,32,name-normalized exact match in equivalent module,export class SpriteFrame extends Asset {,pub struct SpriteFrame {
missing,TTFFont,class,2d,cocos/2d/assets/ttf-font.ts,35,,,,,,no public Rust symbol candidate found by current scanner,export class TTFFont extends Font {,
missing,MaskComponent,reexport,2d,cocos/2d/components/deprecated.ts,41,,,,,,no public Rust symbol candidate found by current scanner,export { Mask as MaskComponent };,
missing,LabelComponent,reexport,2d,cocos/2d/components/deprecated.ts,48,,,,,,no public Rust symbol candidate found by current scanner,export { Label as LabelComponent };,
missing,LabelOutlineComponent,reexport,2d,cocos/2d/components/deprecated.ts,55,,,,,,no public Rust symbol candidate found by current scanner,export { LabelOutline as LabelOutlineComponent };,
missing,RichTextComponent,reexport,2d,cocos/2d/components/deprecated.ts,63,,,,,,no public Rust symbol candidate found by current scanner,export { RichText as RichTextComponent };,
missing,SpriteComponent,reexport,2d,cocos/2d/components/deprecated.ts,70,,,,,,no public Rust symbol candidate found by current scanner,export { Sprite as SpriteComponent };,
missing,UIModelComponent,reexport,2d,cocos/2d/components/deprecated.ts,77,,,,,,no public Rust symbol candidate found by current scanner,export { UIMeshRenderer as UIModelComponent };,
missing,GraphicsComponent,reexport,2d,cocos/2d/components/deprecated.ts,84,,,,,,no public Rust symbol candidate found by current scanner,export { Graphics as GraphicsComponent };,
missing,UIStaticBatchComponent,reexport,2d,cocos/2d/components/deprecated.ts,91,,,,,,no public Rust symbol candidate found by current scanner,export { UIStaticBatch as UIStaticBatchComponent };,
missing,UIOpacityComponent,reexport,2d,cocos/2d/components/deprecated.ts,97,,,,,,no public Rust symbol candidate found by current scanner,export { UIOpacity as UIOpacityComponent };,
missing,Graphics,class,2d,cocos/2d/components/graphics.ts,62,,,,,,no public Rust symbol candidate found by current scanner,export class Graphics extends UIRenderer {,
same-name,Sprite,reexport,2d,cocos/2d/components/index.ts,26,sprite,mod,2d,src/2d/mod.rs,7,name-normalized exact match in equivalent module,export { Sprite } from './sprite';,pub mod sprite;
missing,UIMeshRenderer,reexport,2d,cocos/2d/components/index.ts,27,,,,,,no public Rust symbol candidate found by current scanner,export { UIMeshRenderer } from './ui-mesh-renderer';,
same-name,LabelOutline,reexport,2d,cocos/2d/components/index.ts,28,LabelOutline,struct,2d,src/2d/label.rs,38,name-normalized exact match in equivalent module,export { LabelOutline } from './label-outline';,pub struct LabelOutline {
missing,UIStaticBatch,reexport,2d,cocos/2d/components/index.ts,29,,,,,,no public Rust symbol candidate found by current scanner,export { UIStaticBatch } from './ui-static-batch';,
same-name,LabelShadow,reexport,2d,cocos/2d/components/index.ts,30,LabelShadow,struct,2d,src/2d/label.rs,55,name-normalized exact match in equivalent module,export { LabelShadow } from './label-shadow';,pub struct LabelShadow {
missing,UIOpacity,reexport,2d,cocos/2d/components/index.ts,31,,,,,,no public Rust symbol candidate found by current scanner,export { UIOpacity } from './ui-opacity';,
same-name,LabelOutline,class,2d,cocos/2d/components/label-outline.ts,46,LabelOutline,struct,2d,src/2d/label.rs,38,name-normalized exact match in equivalent module,export class LabelOutline extends Component {,pub struct LabelOutline {
same-name,LabelShadow,class,2d,cocos/2d/components/label-shadow.ts,43,LabelShadow,struct,2d,src/2d/label.rs,55,name-normalized exact match in equivalent module,export class LabelShadow extends Component {,pub struct LabelShadow {
same-name,HorizontalTextAlignment,enum,2d,cocos/2d/components/label.ts,52,HorizontalTextAlignment,enum,2d,src/2d/label.rs,9,name-normalized exact match in equivalent module,export enum HorizontalTextAlignment {,pub enum HorizontalTextAlignment {
same-name,VerticalTextAlignment,enum,2d,cocos/2d/components/label.ts,80,VerticalTextAlignment,enum,2d,src/2d/label.rs,16,name-normalized exact match in equivalent module,export enum VerticalTextAlignment {,pub enum VerticalTextAlignment {
same-name,Overflow,enum,2d,cocos/2d/components/label.ts,108,Overflow,enum,2d,src/2d/label.rs,23,name-normalized exact match in equivalent module,export enum Overflow {,pub enum Overflow {
same-name,CacheMode,enum,2d,cocos/2d/components/label.ts,143,CacheMode,enum,2d,src/2d/label.rs,31,name-normalized exact match in equivalent module,export enum CacheMode {,pub enum CacheMode {
same-name,Label,class,2d,cocos/2d/components/label.ts,180,Label,struct,2d,src/2d/label.rs,76,name-normalized exact match in equivalent module,export class Label extends UIRenderer {,pub struct Label {
missing,MaskType,enum,2d,cocos/2d/components/mask.ts,65,,,,,,no public Rust symbol candidate found by current scanner,export enum MaskType {,
missing,Mask,class,2d,cocos/2d/components/mask.ts,116,,,,,,no public Rust symbol candidate found by current scanner,export class Mask extends Component {,
missing,RichText,class,2d,cocos/2d/components/rich-text.ts,157,,,,,,no public Rust symbol candidate found by current scanner,export class RichText extends Component {,
same-name,SpriteType,enum,2d,cocos/2d/components/sprite.ts,47,SpriteType,enum,2d,src/2d/sprite.rs,9,name-normalized exact match in equivalent module,export enum SpriteType {,pub enum SpriteType {
missing,SpriteEventType,enum,2d,cocos/2d/components/sprite.ts,156,,,,,,no public Rust symbol candidate found by current scanner,export enum SpriteEventType {,
same-name,Sprite,class,2d,cocos/2d/components/sprite.ts,171,sprite,mod,2d,src/2d/mod.rs,7,name-normalized exact match in equivalent module,export class Sprite extends UIRenderer {,pub mod sprite;
missing,UIMeshRenderer,class,2d,cocos/2d/components/ui-mesh-renderer.ts,58,,,,,,no public Rust symbol candidate found by current scanner,export class UIMeshRenderer extends Component {,
missing,UIOpacity,class,2d,cocos/2d/components/ui-opacity.ts,45,,,,,,no public Rust symbol candidate found by current scanner,export class UIOpacity extends Component {,
missing,UIStaticBatch,class,2d,cocos/2d/components/ui-static-batch.ts,57,,,,,,no public Rust symbol candidate found by current scanner,export class UIStaticBatch extends UIRenderer {,
missing,pointerEventDispatcher,const,2d,cocos/2d/event/pointer-event-dispatcher.ts,267,,,,,,no public Rust symbol candidate found by current scanner,export const pointerEventDispatcher = new PointerEventDispatcher();,
same-name-candidate,Canvas,class,2d,cocos/2d/framework/canvas.ts,59,canvas,mod,platform,src/platform/interfaces/mod.rs,3,name-normalized exact match in a different module; manual review required,export class Canvas extends RenderRoot2D {,pub mod canvas;
missing,UITransformComponent,reexport,2d,cocos/2d/framework/deprecated.ts,112,,,,,,no public Rust symbol candidate found by current scanner,export { UITransform as UITransformComponent };,
missing,RenderComponent,reexport,2d,cocos/2d/framework/deprecated.ts,120,,,,,,no public Rust symbol candidate found by current scanner,export { UIRenderer as RenderComponent };,
missing,UIRenderable,reexport,2d,cocos/2d/framework/deprecated.ts,125,,,,,,no public Rust symbol candidate found by current scanner,export { UIRenderer as UIRenderable };,
missing,CanvasComponent,reexport,2d,cocos/2d/framework/deprecated.ts,132,,,,,,no public Rust symbol candidate found by current scanner,export { Canvas as CanvasComponent };,
missing,Renderable2D,reexport,2d,cocos/2d/framework/deprecated.ts,140,,,,,,no public Rust symbol candidate found by current scanner,export { UIRenderer as Renderable2D };,
missing,RenderRoot2D,class,2d,cocos/2d/framework/render-root-2d.ts,43,,,,,,no public Rust symbol candidate found by current scanner,export class RenderRoot2D extends Component {,
missing,SpriteRenderer,class,2d,cocos/2d/framework/sprite-renderer.ts,51,,,,,,no public Rust symbol candidate found by current scanner,export class SpriteRenderer extends ModelRenderer {,
missing,UIComponent,class,2d,cocos/2d/framework/ui-component.ts,45,,,,,,no public Rust symbol candidate found by current scanner,export class UIComponent extends Component {,
missing,UIRendererManager,class,2d,cocos/2d/framework/ui-renderer-manager.ts,31,,,,,,no public Rust symbol candidate found by current scanner,export class UIRendererManager {,
missing,uiRendererManager,const,2d,cocos/2d/framework/ui-renderer-manager.ts,78,,,,,,no public Rust symbol candidate found by current scanner,export const uiRendererManager = new UIRendererManager();,
missing,InstanceMaterialType,enum,2d,cocos/2d/framework/ui-renderer.ts,62,,,,,,no public Rust symbol candidate found by current scanner,export enum InstanceMaterialType {,
missing,UIRenderer,class,2d,cocos/2d/framework/ui-renderer.ts,119,,,,,,no public Rust symbol candidate found by current scanner,export class UIRenderer extends Renderer {,
missing,findSkewAndGetOriginalWorldMatrix,function,2d,cocos/2d/framework/ui-skew-utils.ts,39,,,,,,no public Rust symbol candidate found by current scanner,"export function findSkewAndGetOriginalWorldMatrix (node: Node | null, out: Mat4): boolean {",
missing,updateLocalMatrixBySkew,function,2d,cocos/2d/framework/ui-skew-utils.ts,71,,,,,,no public Rust symbol candidate found by current scanner,"export function updateLocalMatrixBySkew (uiSkewComp: UISkew, outLocalMatrix: Mat4): void {",
missing,UISkew,class,2d,cocos/2d/framework/ui-skew.ts,43,,,,,,no public Rust symbol candidate found by current scanner,export class UISkew extends Component {,
missing,UITransform,class,2d,cocos/2d/framework/ui-transform.ts,55,,,,,,no public Rust symbol candidate found by current scanner,export class UITransform extends Component {,
missing,IAssembler,interface,2d,cocos/2d/renderer/base.ts,37,,,,,,no public Rust symbol candidate found by current scanner,export interface IAssembler {,
missing,IAssemblerManager,interface,2d,cocos/2d/renderer/base.ts,51,,,,,,no public Rust symbol candidate found by current scanner,export interface IAssemblerManager {,
missing,_setSorting2DCount,function,2d,cocos/2d/renderer/batcher-2d.ts,61,,,,,,no public Rust symbol candidate found by current scanner,export function _setSorting2DCount (v: number): void {,
same-name,Batcher2D,class,2d,cocos/2d/renderer/batcher-2d.ts,88,Batcher2D,struct,2d,src/2d/renderer/batcher.rs,28,name-normalized exact match in equivalent module,export class Batcher2D implements IBatcher {,pub struct Batcher2D {
missing,BufferAccessor,class,2d,cocos/2d/renderer/buffer-accessor.ts,29,,,,,,no public Rust symbol candidate found by current scanner,export class BufferAccessor {,
renamed-candidate,UIVertexFormat,reexport,2d,cocos/2d/renderer/deprecated.ts,33,VertexFormat,enum,3d,src/3d/baked_skinning.rs,4,similar-name candidate only; manual signature and behavior review required,export { VertexFormat as UIVertexFormat };,pub enum VertexFormat {
same-name-candidate,UI,reexport,2d,cocos/2d/renderer/deprecated.ts,35,ui,mod,lib.rs,src/lib.rs,31,name-normalized exact match in a different module; manual review required,export { Batcher2D as UI };,pub mod ui;
missing,UIDrawBatch,reexport,2d,cocos/2d/renderer/deprecated.ts,37,,,,,,no public Rust symbol candidate found by current scanner,export { UIDrawBatch };,
missing,QuadRenderData,class,2d,cocos/2d/renderer/deprecated.ts,106,,,,,,no public Rust symbol candidate found by current scanner,export class QuadRenderData extends MeshRenderData {,
missing,DrawBatch2D,class,2d,cocos/2d/renderer/draw-batch.ts,38,,,,,,no public Rust symbol candidate found by current scanner,export class DrawBatch2D {,
renamed-candidate,IBatcher,interface,2d,cocos/2d/renderer/i-batcher.ts,40,batcher,mod,2d,src/2d/renderer/mod.rs,6,similar-name candidate only; manual signature and behavior review required,export interface IBatcher {,pub mod batcher;
missing,LinearBufferAccessor,class,2d,cocos/2d/renderer/linear-buffer-accessor.ts,30,,,,,,no public Rust symbol candidate found by current scanner,export class LinearBufferAccessor extends BufferAccessor {,
renamed-candidate,MeshBuffer,class,2d,cocos/2d/renderer/mesh-buffer.ts,52,UIMeshBuffer,trait,2d,src/2d/renderer/ui_mesh.rs,35,similar-name candidate only; manual signature and behavior review required,export class MeshBuffer {,pub trait UIMeshBuffer: RefCounted {
missing,NativeRenderDrawInfo,const,2d,cocos/2d/renderer/native-2d-empty.ts,25,,,,,,no public Rust symbol candidate found by current scanner,export const NativeRenderDrawInfo = undefined;,
missing,NativeBatcher2d,const,2d,cocos/2d/renderer/native-2d-empty.ts,26,,,,,,no public Rust symbol candidate found by current scanner,export const NativeBatcher2d = undefined;,
missing,NativeUIMeshBuffer,const,2d,cocos/2d/renderer/native-2d-empty.ts,27,,,,,,no public Rust symbol candidate found by current scanner,export const NativeUIMeshBuffer = undefined;,
missing,NativeRenderEntity,const,2d,cocos/2d/renderer/native-2d-empty.ts,28,,,,,,no public Rust symbol candidate found by current scanner,export const NativeRenderEntity = undefined;,
missing,NativeUIModelProxy,const,2d,cocos/2d/renderer/native-2d-empty.ts,29,,,,,,no public Rust symbol candidate found by current scanner,export const NativeUIModelProxy = undefined;,
missing,NativeStencilManager,const,2d,cocos/2d/renderer/native-2d-empty.ts,30,,,,,,no public Rust symbol candidate found by current scanner,export const NativeStencilManager = undefined;,
missing,NativeRenderDrawInfo,const,2d,cocos/2d/renderer/native-2d.jsb.ts,36,,,,,,no public Rust symbol candidate found by current scanner,export const NativeRenderDrawInfo: typeof N2dNativeRenderDrawInfo = n2d.RenderDrawInfo;,
missing,NativeRenderDrawInfo,type,2d,cocos/2d/renderer/native-2d.jsb.ts,37,,,,,,no public Rust symbol candidate found by current scanner,export type NativeRenderDrawInfo = N2dNativeRenderDrawInfo;,
missing,NativeBatcher2d,const,2d,cocos/2d/renderer/native-2d.jsb.ts,38,,,,,,no public Rust symbol candidate found by current scanner,export const NativeBatcher2d: typeof N2dNativeBatcher2d = n2d.Batcher2d;,
missing,NativeBatcher2d,type,2d,cocos/2d/renderer/native-2d.jsb.ts,39,,,,,,no public Rust symbol candidate found by current scanner,export type NativeBatcher2d = N2dNativeBatcher2d;,
missing,NativeUIMeshBuffer,const,2d,cocos/2d/renderer/native-2d.jsb.ts,40,,,,,,no public Rust symbol candidate found by current scanner,export const NativeUIMeshBuffer: typeof N2dNativeUIMeshBuffer = n2d.UIMeshBuffer;,
missing,NativeUIMeshBuffer,type,2d,cocos/2d/renderer/native-2d.jsb.ts,41,,,,,,no public Rust symbol candidate found by current scanner,export type NativeUIMeshBuffer = N2dNativeUIMeshBuffer;,
missing,NativeRenderEntity,const,2d,cocos/2d/renderer/native-2d.jsb.ts,42,,,,,,no public Rust symbol candidate found by current scanner,export const NativeRenderEntity: typeof N2dNativeRenderEntity = n2d.RenderEntity;,
missing,NativeRenderEntity,type,2d,cocos/2d/renderer/native-2d.jsb.ts,43,,,,,,no public Rust symbol candidate found by current scanner,export type NativeRenderEntity = N2dNativeRenderEntity;,
missing,NativeUIModelProxy,const,2d,cocos/2d/renderer/native-2d.jsb.ts,44,,,,,,no public Rust symbol candidate found by current scanner,export const NativeUIModelProxy: typeof N2dNativeUIModelProxy = n2d.UIModelProxy;,
missing,NativeUIModelProxy,type,2d,cocos/2d/renderer/native-2d.jsb.ts,45,,,,,,no public Rust symbol candidate found by current scanner,export type NativeUIModelProxy = N2dNativeUIModelProxy;,
missing,NativeStencilManager,const,2d,cocos/2d/renderer/native-2d.jsb.ts,46,,,,,,no public Rust symbol candidate found by current scanner,export const NativeStencilManager: typeof N2dNativeStencilManager = n2d.StencilManager;,
missing,NativeStencilManager,type,2d,cocos/2d/renderer/native-2d.jsb.ts,47,,,,,,no public Rust symbol candidate found by current scanner,export type NativeStencilManager = N2dNativeStencilManager;,
missing,NativeRenderDrawInfo,class,2d,cocos/2d/renderer/native-2d.ts,30,,,,,,no public Rust symbol candidate found by current scanner,export declare class NativeRenderDrawInfo {,
missing,NativeRenderEntity,class,2d,cocos/2d/renderer/native-2d.ts,66,,,,,,no public Rust symbol candidate found by current scanner,export declare class NativeRenderEntity {,
missing,NativeUIMeshBuffer,class,2d,cocos/2d/renderer/native-2d.ts,91,,,,,,no public Rust symbol candidate found by current scanner,export declare class NativeUIMeshBuffer {,
missing,NativeBatcher2d,class,2d,cocos/2d/renderer/native-2d.ts,107,,,,,,no public Rust symbol candidate found by current scanner,export declare class NativeBatcher2d {,
missing,NativeUIModelProxy,class,2d,cocos/2d/renderer/native-2d.ts,117,,,,,,no public Rust symbol candidate found by current scanner,export declare class NativeUIModelProxy {,
missing,NativeStencilManager,class,2d,cocos/2d/renderer/native-2d.ts,130,,,,,,no public Rust symbol candidate found by current scanner,export declare class NativeStencilManager {,
missing,IRenderData,interface,2d,cocos/2d/renderer/render-data.ts,43,,,,,,no public Rust symbol candidate found by current scanner,export interface IRenderData {,
missing,BaseRenderData,class,2d,cocos/2d/renderer/render-data.ts,57,,,,,,no public Rust symbol candidate found by current scanner,export class BaseRenderData {,
missing,RenderData,class,2d,cocos/2d/renderer/render-data.ts,223,,,,,,no public Rust symbol candidate found by current scanner,export class RenderData extends BaseRenderData {,
missing,MeshRenderData,class,2d,cocos/2d/renderer/render-data.ts,547,,,,,,no public Rust symbol candidate found by current scanner,export class MeshRenderData extends BaseRenderData {,
missing,AttrUInt8ArrayView,enum,2d,cocos/2d/renderer/render-draw-info.ts,36,,,,,,no public Rust symbol candidate found by current scanner,export enum AttrUInt8ArrayView {,
missing,AttrUInt16ArrayView,enum,2d,cocos/2d/renderer/render-draw-info.ts,44,,,,,,no public Rust symbol candidate found by current scanner,export enum AttrUInt16ArrayView {,
missing,AttrUInt32ArrayView,enum,2d,cocos/2d/renderer/render-draw-info.ts,50,,,,,,no public Rust symbol candidate found by current scanner,export enum AttrUInt32ArrayView {,
same-name,RenderDrawInfoType,enum,2d,cocos/2d/renderer/render-draw-info.ts,59,RenderDrawInfoType,enum,2d,src/2d/renderer/draw_info.rs,9,name-normalized exact match in equivalent module,export enum RenderDrawInfoType {,pub enum RenderDrawInfoType {
same-name,RenderDrawInfo,class,2d,cocos/2d/renderer/render-draw-info.ts,75,RenderDrawInfo,struct,2d,src/2d/renderer/draw_info.rs,17,name-normalized exact match in equivalent module,export class RenderDrawInfo {,pub struct RenderDrawInfo {
missing,RenderEntityFillColorType,enum,2d,cocos/2d/renderer/render-entity.ts,32,,,,,,no public Rust symbol candidate found by current scanner,export enum RenderEntityFillColorType {,
same-name,RenderEntityType,enum,2d,cocos/2d/renderer/render-entity.ts,37,RenderEntityType,enum,2d,src/2d/renderer/entity.rs,10,name-normalized exact match in equivalent module,export enum RenderEntityType {,pub enum RenderEntityType {
missing,MaskMode,enum,2d,cocos/2d/renderer/render-entity.ts,64,,,,,,no public Rust symbol candidate found by current scanner,export enum MaskMode {,
same-name,RenderEntity,class,2d,cocos/2d/renderer/render-entity.ts,73,RenderEntity,trait,2d,src/2d/renderer/entity.rs,25,name-normalized exact match in equivalent module,export class RenderEntity {,pub trait RenderEntity: RefCounted {
missing,StaticVBChunk,class,2d,cocos/2d/renderer/static-vb-accessor.ts,45,,,,,,no public Rust symbol candidate found by current scanner,export class StaticVBChunk {,
missing,StaticVBAccessor,class,2d,cocos/2d/renderer/static-vb-accessor.ts,78,,,,,,no public Rust symbol candidate found by current scanner,export class StaticVBAccessor extends BufferAccessor {,
missing,Stage,enum,2d,cocos/2d/renderer/stencil-manager.ts,35,,,,,,no public Rust symbol candidate found by current scanner,export enum Stage {,
